57	7	16	17	22	48	57	66	67	72	98												
58	8	10	23	28	34	58	60	73	78	84												
59	6	9	21	32	40	56	59	71	82	90												
60	3	8	10	22	23	26	28	34	41	53	58	60	72	73	76	78	84	91				
61	1	5	11	13	46	51	55	61	63	96												
62	2	12	22	26	33	37	39	41	44	52	62	72	76	83	87	89	91	94				
63	1	5	11	13	46	51	55	61	63	96												
64	14	15	19	29	30	49	64	65	69	79	80	99										
65	14	15	19	29	30	49	64	65	69	79	80	99										
66	7	16	17	22	48	57	66	67	72	98												
67	7	16	17	22	48	57	66	67	72	98												
68	18	26	27	68	76	77																
69	14	15	19	29	30	49	64	65	69	79	80	99										
70	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
71	6	9	21	23	24	32	40	43	56	59	71	73	74	82	90	93						
72	3	7	10	12	16	17	22	26	48	53	57	60	62	66	67	72	76	98				
73	8	10	21	23	24	28	34	43	58	60	71	73	74	78	84	93						
74	3	20	21	23	24	35	36	43	47	53	70	71	73	74	85	86	93	97				
75	4	25	30	31	38	42	45	50	54	75	80	81	88	92	95	100						
76	3	10	12	18	22	26	27	53	60	62	68	72	76	77								
77	18	26	27	46	68	76	77	96														
78	8	10	23	28	34	38	45	58	60	73	78	84	88	95								
79	14	15	19	29	30	49	64	65	69	79	80	99										
80	14	15	19	25	29	30	49	64	65	69	75	79	80	99								
81	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
82	6	9	21	32	40	56	59	71	82	90												
83	2	12	33	34	37	39	41	43	44	52	62	83	87	89	91	93	94					
84	8	10	23	28	34	38	45	58	60	73	78	84	88	95								
85	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
86	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
87	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
88	4	25	28	31	38	42	45	50	54	75	78	81	84	88	92	95	100					
89	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
90	6	9	21	32	40	56	59	71	82	90												
91	2	3	10	12	33	37	39	41	44	52	53	60	62	83	87	89	91	94				
92	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
93	3	20	21	23	24	33	34	35	36	43	47	53	70	71	73	74	83	85	86	93	97	
94	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
95	4	25	28	31	38	42	45	50	54	75	78	81	84	88	92	95	100					
96	1	5	11	13	27	46	51	55	61	63	77	96										
97	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
98	7	16	17	22	48	57	66	67	72	98												
99	14	15	19	29	30	49	64	65	69	79	80	99										
100	2	4	25	31	38	42	45	50	52	54	75	81	88	92	95	100								
