35	2	8	12	28	33	34	37	39	41	44	52	58	62	78	83	84	87	89	91	94										
36	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
37	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
38	12	33	37	39	50	62	83	87	89	100																				
39	3	4	20	24	25	31	35	36	38	42	43	45	47	50	53	54	70	74	75	81	85	86	88	92	93	95	97	100		
40	1	5	7	11	13	16	17	22	30	46	48	51	55	57	61	63	66	67	72	80	96	98								
41	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
42	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
43	2	8	12	28	33	34	37	39	41	44	52	58	62	78	83	84	87	89	91	94										
44	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
45	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100														
46	18	21	26	27	32	40	68	71	76	77	82	90																		
47	2	8	28	34	39	41	44	52	58	78	84	89	91	94																
48	6	9	19	23	30	40	56	59	69	73	80	90																		
49	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
50	2	4	12	25	31	33	37	38	39	41	42	44	45	50	52	54	62	75	81	83	87	88	89	91	92	94	95	100		
51	6	9	18	21	26	27	32	40	56	59	68	71	76	77	82	90														
52	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
53	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
54	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
55	6	9	18	21	26	27	32	40	56	59	68	71	76	77	82	90														
56	1	5	7	16	17	22	30	48	51	55	57	66	67	72	80	98														
57	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
58	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
59	1	5	7	16	17	22	30	48	51	55	57	66	67	72	80	98														
60	3	4	14	20	24	29	31	36	42	49	53	54	64	70	74	79	81	86	92	99										
61	18	21	26	27	32	40	68	71	76	77	82	90																		
62	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
63	18	21	26	27	32	40	68	71	76	77	82	90																		
64	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
65	7	16	17	21	57	66	67	71																						
66	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
67	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
68	1	5	11	13	46	51	55	61	63	96																				
69	7	16	17	21	22	48	57	66	67	71	72	98																		
70	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
71	1	5	11	13	14	15	19	22	29	30	46	49	51	55	61	63	64	65	69	72	79	80	96	99						
72	6	9	19	21	23	30	32	40	56	59	69	71	73	80	82	90														
73	3	4	7	14	16	17	20	22	24	29	31	36	42	48	49	53	54	57	64	66	67	70	72	74	79	81	86	92	98	99
74	2	8	10	12	23	28	33	34	37	39	41	44	52	58	60	62	73	78	83	84	87	89	91	94						
75	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100														
76	1	5	11	13	46	51	55	61	63	96																				
77	1	5	11	13	46	51	55	61	63	96																				
78	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
79	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
80	6	7	9	16	17	21	22	32	40	48	56	57	59	66	67	71	72	82	90	98										
81	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
82	1	5	11	13	22	30	46	51	55	61	63	72	80	96																
83	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
84	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
85	2	8	12	28	33	34	37	39	41	44	52	58	62	78	83	84	87	89	91	94										
86	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
87	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
88	12	33	37	39	50	62	83	87	89	100																				
89	3	4	20	24	25	31	35	36	38	42	43	45	47	50	53	54	70	74	75	81	85	86	88	92	93	95	97	100		
90	1	5	7	11	13	16	17	22	30	46	48	51	55	57	61	63	66	67	72	80	96	98								
91	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
92	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
93	2	8	12	28	33	34	37	39	41	44	52	58	62	78	83	84	87	89	91	94										
94	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
95	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100														
96	18	21	26	27	32	40	68	71	76	77	82	90																		
97	2	8	28	34	39	41	44	52	58	78	84	89	91	94																
98	6	9	19	23	30	40	56	59	69	73	80	90																		
99	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
100	2	4	12	25	31	33	37	38	39	41	42	44	45	50	52	54	62	75	81	83	87	88	89	91	92	94	95	100
